knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
refund.deep,1,casual,3277.5,1915,7785,27,42,83,0.942,0.15,0.12,0.914,5
refund.deep,1,ketoBig,4367.5,2481,11240,31,49,79,0.928,0.304,0.23,0.942,5
refund.deep,1,lookahead,5405.5,3170,22000,29,56,89,0.9333333333333333,0.4866666666666667,0.28,0.9066666666666666,5
refund.deep,2,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
refund.deep,2,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
refund.deep,2,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
refund.deep,3,casual,3316.5,1915,8414,27,48,105,0.94,0.154,0.12,0.914,5
refund.deep,3,ketoBig,4516,2481,13370,33,61,133,0.916,0.328,0.234,0.942,5
refund.deep,3,lookahead,5651.5,3170,24765,29,78,172,0.9133333333333333,0.5933333333333334,0.2866666666666667,0.9066666666666666,5
refund.keto,1,casual,3140,1900,7340,26,38,78,0.946,0.144,0.116,0.912,5
refund.keto,1,ketoBig,4167.5,2365,10820,29,46,76,0.932,0.286,0.216,0.942,5
refund.keto,1,lookahead,5219,3154,18248,27,50,81,0.94,0.4666666666666667,0.2733333333333333,0.9,5
refund.keto,2,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
refund.keto,2,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
refund.keto,2,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
refund.keto,3,casual,3460,1933,8847,28,52,135,0.936,0.16,0.124,0.92,5
refund.keto,3,ketoBig,4999,2518,13600,35,65,147,0.914,0.336,0.242,0.944,5
refund.keto,3,lookahead,5864.5,3205,24765,31,79,184,0.9133333333333333,0.6066666666666667,0.2866666666666667,0.9066666666666666,5
refund.frenzy,3,casual,3304,1915,7840,27,45,88,0.942,0.15,0.12,0.914,5
refund.frenzy,3,ketoBig,4464,2481,11980,31.5,52,100,0.924,0.312,0.232,0.942,5
refund.frenzy,3,lookahead,5478.5,3170,20520,29,60,131,0.94,0.4866666666666667,0.2866666666666667,0.9066666666666666,5
refund.frenzy,5,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
refund.frenzy,5,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
refund.frenzy,5,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
refund.frenzy,7,casual,3304,1915,8350,27,47,100,0.942,0.154,0.12,0.914,5
