seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,casual,1,50,52,normal,normal,60,1,6,3,3,false,0,0,false,false,29,60,45
1,casual,2,52,63,normal,normal,30,1,3,3,0,false,0,0,false,false,28,30,45
1,casual,3,63,73,normal,keto,30,1,3,3,0,false,1,2,false,false,29,30,45
1,casual,4,73,63,keto,normal,90,1,3,0,3,true,-1,0,false,false,28,,90
1,casual,5,63,68,normal,normal,750,3,13,3,10,false,0,2,false,false,29,30,45
1,casual,6,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,30,30,45
1,casual,7,78,79,keto,keto,120,1,6,3,3,false,0,0,false,false,29,120,120
1,casual,8,79,68,keto,normal,270,2,6,0,6,true,-1,0,false,false,28,60,180
1,casual,9,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,29,90,60
1,casual,10,78,87,keto,deep,60,1,3,3,0,false,1,2,false,false,30,60,90
1,casual,11,87,82,deep,keto,240,1,8,1,7,false,-1,0,false,false,29,,270
1,casual,12,82,82,keto,keto,210,2,6,3,3,true,0,2,false,false,30,60,180
1,casual,13,82,100,keto,frenzy,260,2,7,7,0,false,frenzy,7,true,false,36,80,90
1,casual,14,100,100,frenzy,frenzy,180,1,3,0,3,true,0,0,false,false,35,,180
1,casual,15,100,100,frenzy,frenzy,360,1,6,0,6,true,0,0,false,false,34,,360
1,casual,16,100,100,frenzy,frenzy,900,3,9,3,6,true,0,0,false,false,33,120,180
1,casual,17,100,100,frenzy,frenzy,160,1,4,4,0,false,0,0,false,false,32,160,180
1,casual,18,100,70,frenzy,keto,180,1,3,0,3,true,-1,0,false,true,31,240,180
1,casual,19,70,100,keto,frenzy,1440,5,18,12,6,false,frenzy,7,true,false,37,60,90
1,casual,20,100,100,frenzy,frenzy,660,2,9,3,6,true,0,0,false,false,36,,180
1,casual,21,100,100,frenzy,frenzy,600,2,9,3,6,false,0,0,false,false,35,320,180
