seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,greedy,1,50,52,normal,normal,60,1,6,3,3,false,0,0,false,false,29,60,45
1,greedy,2,52,42,normal,normal,45,1,3,0,3,true,0,0,false,false,28,30,45
1,greedy,3,42,40,normal,normal,1230,7,25,9,16,true,0,0,false,false,27,30,45
1,greedy,4,40,31,normal,normal,45,1,3,0,3,true,0,0,false,false,26,30,45
1,greedy,5,31,22,normal,normal,45,1,3,0,3,true,0,0,false,false,25,30,45
1,greedy,6,22,45,normal,normal,90,2,6,6,0,false,0,0,false,false,24,30,45
1,greedy,7,45,47,normal,normal,60,1,6,3,3,false,0,0,false,false,23,60,45
1,greedy,8,47,59,normal,normal,270,2,19,10,9,false,0,0,false,false,22,,110
1,greedy,9,59,69,normal,normal,30,1,3,3,0,false,0,2,false,false,23,30,45
1,greedy,10,69,56,normal,normal,480,4,18,6,12,true,0,0,false,false,22,,90
1,greedy,11,56,68,normal,normal,220,2,7,4,3,false,0,2,false,false,23,40,45
1,greedy,12,68,67,normal,normal,120,2,7,3,4,true,0,0,false,false,22,,60
1,greedy,13,67,48,normal,normal,135,2,6,0,6,true,0,0,false,false,21,,45
1,greedy,14,48,59,normal,normal,30,1,3,3,0,false,0,0,false,false,20,30,45
1,greedy,15,59,49,normal,normal,45,1,3,0,3,true,0,0,false,false,19,30,45
1,greedy,16,49,64,normal,normal,40,1,4,4,0,false,0,0,false,false,18,40,
1,greedy,17,64,68,normal,normal,210,2,6,3,3,false,0,2,false,false,19,30,45
1,greedy,18,68,49,normal,normal,135,2,6,0,6,true,0,0,false,false,18,30,45
1,greedy,19,49,71,normal,keto,60,1,6,6,0,false,1,2,false,false,19,30,
1,greedy,20,71,61,keto,normal,90,1,3,0,3,true,-1,0,false,false,18,60,90
1,greedy,21,61,51,normal,normal,45,1,3,0,3,true,0,0,false,false,17,30,45
1,greedy,22,51,62,normal,normal,30,1,3,3,0,false,0,0,false,false,16,30,60
1,greedy,23,62,83,normal,keto,150,2,6,6,0,false,1,4,false,false,19,30,45
1,greedy,24,83,77,keto,keto,120,1,6,2,4,false,0,0,false,false,18,,90
1,greedy,25,77,86,keto,deep,60,1,3,3,0,false,1,2,false,false,19,60,90
1,greedy,26,86,49,deep,normal,450,2,12,0,12,true,-1,0,false,false,18,90,270
1,greedy,27,49,100,normal,frenzy,1995,6,22,16,6,true,frenzy,9,true,false,26,30,45
1,greedy,28,100,100,frenzy,frenzy,300,1,5,0,5,true,0,0,false,false,25,120,300
1,greedy,29,100,100,frenzy,frenzy,240,1,4,0,4,true,0,0,false,false,24,120,240
1,greedy,30,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,23,120,180
1,greedy,31,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,22,120,180
1,greedy,32,100,70,frenzy,keto,180,1,3,0,3,true,-1,0,false,true,21,120,180
1,greedy,33,70,58,keto,normal,490,3,20,7,13,true,-1,0,false,false,20,60,90
1,greedy,34,58,72,normal,keto,40,1,4,4,0,false,1,2,false,false,21,40,60
1,greedy,35,72,59,keto,normal,120,1,4,0,4,true,-1,0,false,false,20,120,120
1,greedy,36,59,64,normal,normal,150,2,12,6,6,false,0,0,false,false,19,90,45
1,greedy,37,64,28,normal,normal,450,4,12,0,12,true,0,0,false,false,18,30,45
1,greedy,38,28,19,normal,normal,45,1,3,0,3,true,0,0,false,false,17,30,45
