seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,keto,1,50,61,normal,normal,30,1,3,3,0,false,0,0,false,false,29,60,45
1,keto,2,61,51,normal,normal,45,1,3,0,3,true,0,0,false,false,28,,90
1,keto,3,51,41,normal,normal,45,1,3,0,3,true,0,0,false,false,27,,45
1,keto,4,41,52,normal,normal,30,1,3,3,0,false,0,0,false,false,26,30,45
1,keto,5,52,54,normal,normal,105,2,6,3,3,true,0,0,false,false,25,,45
1,keto,6,54,37,normal,normal,520,4,15,4,11,true,0,0,false,false,24,,60
1,keto,7,37,16,normal,normal,165,2,7,0,7,true,0,0,false,false,23,,60
1,keto,8,16,31,normal,normal,225,3,9,6,3,false,0,0,false,false,22,30,45
1,keto,9,31,42,normal,normal,30,1,3,3,0,false,0,0,false,false,21,30,45
1,keto,10,42,33,normal,normal,45,1,3,0,3,true,0,0,false,false,20,,90
1,keto,11,33,44,normal,normal,30,1,3,3,0,false,0,0,false,false,19,30,100
1,keto,12,44,33,normal,normal,60,1,6,1,5,false,0,0,false,false,18,,100
1,keto,13,33,28,normal,normal,290,3,17,6,11,false,0,0,false,false,17,60,90
1,keto,14,28,40,normal,normal,30,1,3,3,0,false,0,0,false,false,16,30,45
1,keto,15,40,51,normal,normal,30,1,3,3,0,false,0,0,false,false,15,30,45
1,keto,16,51,62,normal,normal,30,1,3,3,0,false,0,0,false,false,14,60,45
1,keto,17,62,72,normal,keto,30,1,3,3,0,false,1,2,false,false,15,30,45
1,keto,18,72,82,keto,keto,60,1,3,3,0,false,0,0,false,false,14,60,90
1,keto,19,82,80,keto,keto,450,3,9,3,6,true,0,0,false,false,13,,90
1,keto,20,80,89,keto,deep,60,1,3,3,0,false,1,2,false,false,14,60,90
1,keto,21,89,78,deep,keto,135,1,3,0,3,true,-1,0,false,false,13,,135
2,keto,1,50,40,normal,normal,45,1,3,0,3,true,0,0,false,false,29,,60
2,keto,2,40,31,normal,normal,45,1,3,0,3,true,0,0,false,false,28,,45
3,keto,1,50,61,normal,normal,30,1,3,3,0,false,0,0,false,false,29,30,45
3,keto,2,61,71,normal,keto,1080,4,17,6,11,false,1,2,false,false,30,30,60
3,keto,3,71,81,keto,keto,60,1,3,3,0,false,0,0,false,false,29,60,90
3,keto,4,81,70,keto,keto,90,1,3,0,3,true,0,0,false,false,28,,180
3,keto,5,70,51,keto,normal,180,2,6,0,6,true,-1,0,false,false,27,,180
3,keto,6,51,41,normal,normal,45,1,3,0,3,true,0,0,false,false,26,,45
3,keto,7,41,32,normal,normal,45,1,3,0,3,true,0,0,false,false,25,,60
3,keto,8,32,23,normal,normal,45,1,3,0,3,true,0,0,false,false,24,,60
3,keto,9,23,23,normal,normal,150,2,7,3,4,false,0,0,false,false,23,30,45
3,keto,10,23,16,normal,normal,435,3,17,3,14,false,0,0,false,false,22,60,45
3,keto,11,16,16,normal,normal,525,4,14,3,11,false,0,0,false,false,21,30,80
3,keto,12,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,20,30,80
3,keto,13,28,19,normal,normal,45,1,3,0,3,true,0,0,false,false,19,,80
3,keto,14,19,31,normal,normal,30,1,3,3,0,false,0,0,false,false,18,30,45
3,keto,15,31,16,normal,normal,655,4,20,5,15,true,0,0,false,false,17,,90
3,keto,16,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,16,30,90
3,keto,17,28,40,normal,normal,30,1,3,3,0,false,0,0,false,false,15,30,45
3,keto,18,40,34,normal,normal,150,2,9,3,6,true,0,0,false,false,14,,90
3,keto,19,34,48,normal,normal,210,3,9,6,3,false,0,0,false,false,13,30,90
3,keto,20,48,64,normal,normal,330,3,13,8,5,false,0,0,false,false,12,30,45
3,keto,21,64,74,normal,keto,30,1,3,3,0,false,1,2,false,false,13,30,60
3,keto,22,74,75,keto,keto,120,1,6,3,3,false,0,0,false,false,12,120,120
3,keto,23,75,65,keto,normal,90,1,3,0,3,true,-1,0,false,false,11,,120
3,keto,24,65,75,normal,keto,30,1,3,3,0,false,1,2,false,false,12,60,45
3,keto,25,75,65,keto,normal,90,1,3,0,3,true,-1,0,false,false,11,,120
3,keto,26,65,68,normal,normal,210,2,6,3,3,false,0,2,false,false,12,30,45
3,keto,27,68,68,normal,normal,840,3,15,3,12,false,0,2,false,false,13,30,60
3,keto,28,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,14,30,45
3,keto,29,78,87,keto,deep,60,1,3,3,0,false,1,2,false,false,15,60,90
3,keto,30,87,80,deep,keto,915,4,13,3,10,true,-1,0,false,false,14,,180
3,keto,31,80,68,keto,normal,960,3,16,1,15,true,-1,0,false,false,13,,120
3,keto,32,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,14,30,45
3,keto,33,78,87,keto,deep,60,1,3,3,0,false,1,2,false,false,15,60,90
3,keto,34,87,82,deep,keto,1710,4,15,3,12,false,-1,0,false,false,14,90,135
3,keto,35,82,91,keto,deep,60,1,3,3,0,false,1,2,false,false,15,60,90
3,keto,36,91,71,deep,keto,315,2,6,0,6,true,-1,0,false,false,14,,135
3,keto,37,71,61,keto,normal,90,1,3,0,3,true,-1,0,false,false,13,,90
3,keto,38,61,51,normal,normal,45,1,3,0,3,true,0,0,false,false,12,,45
3,keto,39,51,62,normal,normal,30,1,3,3,0,false,0,0,false,false,11,30,45
3,keto,40,62,52,normal,normal,45,1,3,0,3,true,0,0,false,false,10,,60
3,keto,41,52,63,normal,normal,30,1,3,3,0,false,0,0,false,false,9,30,60
3,keto,42,63,73,normal,keto,30,1,3,3,0,false,1,2,false,false,10,30,60
3,keto,43,73,68,keto,normal,340,2,11,2,9,false,-1,0,false,false,9,,120
3,keto,44,68,68,normal,normal,375,3,9,3,6,true,0,2,false,false,10,,90
3,keto,45,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,11,30,90
3,keto,46,78,87,keto,deep,60,1,3,3,0,false,1,2,false,false,12,60,90
3,keto,47,87,68,deep,normal,270,1,6,0,6,true,-1,0,false,false,11,,270
3,keto,48,68,58,normal,normal,45,1,3,0,3,true,0,0,false,false,10,,45
3,keto,49,58,82,normal,keto,1050,4,19,9,10,false,1,4,false,false,13,30,45
3,keto,50,82,71,keto,keto,90,1,3,0,3,true,0,0,false,false,12,,180
3,keto,51,71,58,keto,normal,120,1,4,0,4,true,-1,0,false,false,11,,150
3,keto,52,58,68,normal,normal,30,1,3,3,0,false,0,2,false,false,12,40,45
3,keto,53,68,69,normal,normal,210,2,6,3,3,false,0,2,false,false,13,30,45
3,keto,54,69,79,normal,keto,30,1,3,3,0,false,1,2,false,false,14,40,80
3,keto,55,79,100,keto,frenzy,240,2,6,6,0,false,frenzy,7,true,false,20,200,90
3,keto,56,100,100,frenzy,frenzy,2280,4,20,7,13,false,0,0,false,false,19,400,180
3,keto,57,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,18,240,180
3,keto,58,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,17,120,180
3,keto,59,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,16,120,180
3,keto,60,100,70,frenzy,keto,180,1,3,0,3,true,-1,0,false,true,15,,180
3,keto,61,70,60,keto,normal,90,1,3,0,3,true,-1,0,false,false,14,,90
3,keto,62,60,70,normal,keto,30,1,3,3,0,false,1,2,false,false,15,30,90
3,keto,63,70,60,keto,normal,90,1,3,0,3,true,-1,0,false,false,14,,120
3,keto,64,60,68,normal,normal,720,3,13,3,10,false,0,2,false,false,15,30,45
3,keto,65,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,16,30,45
3,keto,66,78,68,keto,normal,580,2,15,2,13,false,-1,0,false,false,15,,90
3,keto,67,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,16,30,45
3,keto,68,78,59,keto,normal,180,2,6,0,6,true,-1,0,false,false,15,,90
3,keto,69,59,49,normal,normal,45,1,3,0,3,true,0,0,false,false,14,,60
3,keto,70,49,40,normal,normal,45,1,3,0,3,true,0,0,false,false,13,,45
3,keto,71,40,55,normal,normal,40,1,4,4,0,false,0,0,false,false,12,40,45
3,keto,72,55,66,normal,normal,30,1,3,3,0,false,0,0,false,false,11,30,45
3,keto,73,66,68,normal,normal,210,2,6,3,3,false,0,2,false,false,12,30,45
3,keto,74,68,68,normal,normal,2670,6,31,9,22,false,0,2,false,false,13,30,90
