seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,ketoBig,1,50,52,normal,normal,60,1,6,3,3,false,0,0,false,false,29,60,45
1,ketoBig,2,52,63,normal,normal,30,1,3,3,0,false,0,0,false,false,28,30,45
1,ketoBig,3,63,73,normal,keto,30,1,3,3,0,false,1,2,false,false,29,30,45
1,ketoBig,4,73,57,keto,normal,300,2,12,3,9,true,-1,0,false,false,28,,180
1,ketoBig,5,57,68,normal,normal,30,1,3,3,0,false,0,0,false,false,27,30,90
1,ketoBig,6,68,52,normal,normal,210,2,12,3,9,true,0,0,false,false,26,,90
1,ketoBig,7,52,42,normal,normal,45,1,3,0,3,true,0,0,false,false,25,,45
1,ketoBig,8,42,53,normal,normal,30,1,3,3,0,false,0,0,false,false,24,30,60
1,ketoBig,9,53,38,normal,normal,75,1,5,0,5,true,0,0,false,false,23,,75
1,ketoBig,10,38,49,normal,normal,30,1,3,3,0,false,0,0,false,false,22,30,45
1,ketoBig,11,49,74,normal,keto,240,3,12,9,3,false,1,2,false,false,23,30,45
1,ketoBig,12,74,46,keto,normal,315,3,9,0,9,true,-1,0,false,false,22,,90
1,ketoBig,13,46,48,normal,normal,60,1,6,3,3,false,0,0,false,false,21,60,45
1,ketoBig,14,48,59,normal,normal,30,1,3,3,0,false,0,0,false,false,20,30,45
1,ketoBig,15,59,49,normal,normal,45,1,3,0,3,true,0,0,false,false,19,,45
1,ketoBig,16,49,40,normal,normal,45,1,3,0,3,true,0,0,false,false,18,,45
1,ketoBig,17,40,51,normal,normal,750,5,24,12,12,false,0,0,false,false,17,60,45
1,ketoBig,18,51,73,normal,keto,60,1,6,6,0,false,1,2,false,false,18,60,45
1,ketoBig,19,73,85,keto,deep,1410,3,18,6,12,false,1,2,false,false,19,60,90
1,ketoBig,20,85,94,deep,deep,90,1,3,3,0,false,0,0,false,false,18,90,135
1,ketoBig,21,94,100,deep,frenzy,90,1,3,3,0,false,frenzy,5,true,false,22,90,135
1,ketoBig,22,100,100,frenzy,frenzy,180,1,3,0,3,true,0,0,false,false,21,,180
1,ketoBig,23,100,100,frenzy,frenzy,840,2,12,3,9,true,0,0,false,false,20,,360
1,ketoBig,24,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,19,120,180
1,ketoBig,25,100,100,frenzy,frenzy,1020,3,9,3,6,false,0,0,false,false,18,120,180
1,ketoBig,26,100,70,frenzy,keto,120,1,3,3,0,false,-1,0,false,true,17,120,180
1,ketoBig,27,70,80,keto,keto,60,1,3,3,0,false,0,0,false,false,16,60,120
1,ketoBig,28,80,89,keto,deep,60,1,3,3,0,false,1,2,false,false,17,60,120
1,ketoBig,29,89,100,deep,frenzy,2010,4,14,6,8,false,frenzy,5,true,false,21,90,180
1,ketoBig,30,100,100,frenzy,frenzy,240,1,4,0,4,true,0,0,false,false,20,,240
1,ketoBig,31,100,100,frenzy,frenzy,240,1,6,3,3,false,0,0,false,false,19,240,240
1,ketoBig,32,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,18,120,240
1,ketoBig,33,100,100,frenzy,frenzy,960,2,10,0,10,true,0,0,false,false,17,,240
1,ketoBig,34,100,70,frenzy,keto,1800,3,18,6,12,false,-1,0,false,true,16,240,240
1,ketoBig,35,70,48,keto,normal,210,2,7,0,7,true,-1,0,false,false,15,,120
1,ketoBig,36,48,59,normal,normal,30,1,3,3,0,false,0,0,false,false,14,30,45
1,ketoBig,37,59,69,normal,normal,30,1,3,3,0,false,0,2,false,false,15,30,45
1,ketoBig,38,69,70,normal,keto,60,1,6,3,3,false,1,2,false,false,16,60,45
1,ketoBig,39,70,80,keto,keto,60,1,3,3,0,false,0,0,false,false,15,60,90
1,ketoBig,40,80,69,keto,normal,90,1,3,0,3,true,-1,0,false,false,14,,90
1,ketoBig,41,69,57,normal,normal,60,1,6,1,5,false,0,0,false,false,13,,130
1,ketoBig,42,57,30,normal,normal,180,2,9,0,9,true,0,0,false,false,12,,90
1,ketoBig,43,30,24,normal,normal,255,3,9,3,6,false,0,0,false,false,11,30,90
1,ketoBig,44,24,36,normal,normal,30,1,3,3,0,false,0,0,false,false,10,30,80
1,ketoBig,45,36,16,normal,normal,335,3,17,4,13,false,0,0,false,false,9,,80
1,ketoBig,46,16,19,normal,normal,120,2,6,3,3,false,0,0,false,false,8,30,100
1,ketoBig,47,19,31,normal,normal,30,1,3,3,0,false,0,0,false,false,7,30,100
1,ketoBig,48,31,22,normal,normal,135,2,10,3,7,true,0,0,false,false,6,,105
1,ketoBig,49,22,16,normal,normal,60,1,6,1,5,false,0,0,false,false,5,,60
1,ketoBig,50,16,4,normal,crash,60,1,4,0,4,true,-1,0,false,false,4,,60
1,ketoBig,51,4,16,crash,normal,15,1,3,3,0,false,1,0,false,false,3,15,30
1,ketoBig,52,16,16,normal,normal,480,4,15,4,11,false,0,0,false,false,2,30,45
1,ketoBig,53,16,40,normal,normal,90,2,6,6,0,false,0,0,false,false,1,30,45
1,ketoBig,54,40,42,normal,normal,60,1,6,3,3,false,0,0,false,false,0,60,75
2,ketoBig,1,50,38,normal,normal,60,1,4,0,4,true,0,0,false,false,29,,60
2,ketoBig,2,38,36,normal,normal,3495,10,48,15,33,false,0,0,false,false,28,30,45
2,ketoBig,3,36,18,normal,normal,295,3,13,3,10,false,0,0,false,false,27,70,90
2,ketoBig,4,18,30,normal,normal,30,1,3,3,0,false,0,0,false,false,26,30,90
2,ketoBig,5,30,45,normal,normal,40,1,4,4,0,false,0,0,false,false,25,40,90
2,ketoBig,6,45,61,normal,normal,130,1,13,8,5,false,0,0,false,false,24,130,130
2,ketoBig,7,61,36,normal,normal,270,2,20,5,15,false,0,0,false,false,23,,130
2,ketoBig,8,36,24,normal,normal,60,1,4,0,4,true,0,0,false,false,22,,60
2,ketoBig,9,24,24,normal,normal,90,2,7,3,4,true,0,0,false,false,21,,60
2,ketoBig,10,24,15,normal,crash,45,1,3,0,3,true,-1,0,false,false,20,,45
2,ketoBig,11,15,12,crash,crash,155,3,19,7,12,false,0,0,false,false,19,,23
2,ketoBig,12,12,16,crash,normal,240,3,9,3,6,false,1,0,false,false,18,15,30
2,ketoBig,13,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,17,30,60
2,ketoBig,14,28,18,normal,normal,80,1,8,2,6,false,0,0,false,false,16,,80
2,ketoBig,15,18,41,normal,normal,90,2,6,6,0,false,0,0,false,false,15,30,45
2,ketoBig,16,41,35,normal,normal,150,2,9,3,6,false,0,0,false,false,14,60,45
2,ketoBig,17,35,23,normal,normal,510,4,18,6,12,false,0,0,false,false,13,60,45
2,ketoBig,18,23,20,normal,normal,80,1,8,3,5,false,0,0,false,false,12,80,60
2,ketoBig,19,20,32,normal,normal,30,1,3,3,0,false,0,0,false,false,11,30,45
2,ketoBig,20,32,23,normal,normal,45,1,3,0,3,true,0,0,false,false,10,,45
2,ketoBig,21,23,14,normal,crash,45,1,3,0,3,true,-1,0,false,false,9,,45
2,ketoBig,22,14,26,crash,normal,15,1,3,3,0,false,1,0,false,false,8,15,23
2,ketoBig,23,26,29,normal,normal,60,1,6,3,3,false,0,0,false,false,7,60,45
2,ketoBig,24,29,40,normal,normal,30,1,3,3,0,false,0,0,false,false,6,30,45
2,ketoBig,25,40,16,normal,normal,450,4,12,0,12,true,0,0,false,false,5,,45
2,ketoBig,26,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,4,30,45
2,ketoBig,27,28,43,normal,normal,40,1,4,4,0,false,0,0,false,false,3,40,45
2,ketoBig,28,43,34,normal,normal,45,1,3,0,3,true,0,0,false,false,2,,45
2,ketoBig,29,34,25,normal,normal,45,1,3,0,3,true,0,0,false,false,1,,45
2,ketoBig,30,25,7,normal,crash,90,1,6,0,6,true,-1,0,false,false,0,,90
3,ketoBig,1,50,61,normal,normal,30,1,3,3,0,false,0,0,false,false,29,30,45
3,ketoBig,2,61,71,normal,keto,1080,4,17,6,11,false,1,2,false,false,30,30,60
3,ketoBig,3,71,81,keto,keto,60,1,3,3,0,false,0,0,false,false,29,60,90
3,ketoBig,4,81,53,keto,normal,270,2,9,0,9,true,-1,0,false,false,28,,180
3,ketoBig,5,53,43,normal,normal,45,1,3,0,3,true,0,0,false,false,27,,45
3,ketoBig,6,43,34,normal,normal,45,1,3,0,3,true,0,0,false,false,26,,45
3,ketoBig,7,34,16,normal,normal,240,2,11,0,11,true,0,0,false,false,25,,90
3,ketoBig,8,16,16,normal,normal,285,3,12,1,11,false,0,0,false,false,24,,60
3,ketoBig,9,16,19,normal,normal,60,1,6,3,3,false,0,0,false,false,23,60,45
3,ketoBig,10,19,31,normal,normal,30,1,3,3,0,false,0,0,false,false,22,30,45
3,ketoBig,11,31,22,normal,normal,45,1,3,0,3,true,0,0,false,false,21,,45
3,ketoBig,12,22,10,normal,crash,60,1,4,0,4,true,-1,0,false,false,20,,60
3,ketoBig,13,10,22,crash,normal,15,1,3,3,0,false,1,0,false,false,19,15,23
3,ketoBig,14,22,49,normal,normal,110,2,7,7,0,false,0,0,false,false,18,30,45
3,ketoBig,15,49,31,normal,normal,135,2,6,0,6,true,0,0,false,false,17,,45
3,ketoBig,16,31,25,normal,normal,150,2,9,3,6,false,0,0,false,false,16,60,45
3,ketoBig,17,25,28,normal,normal,120,2,6,3,3,false,0,0,false,false,15,30,45
3,ketoBig,18,28,16,normal,normal,90,1,6,0,6,true,0,0,false,false,14,,45
3,ketoBig,19,16,54,normal,normal,270,2,15,12,3,false,0,0,false,false,13,30,45
3,ketoBig,20,54,65,normal,normal,30,1,3,3,0,false,0,0,false,false,12,30,60
3,ketoBig,21,65,87,normal,deep,540,3,14,9,5,false,1,4,false,false,15,30,60
3,ketoBig,22,87,87,deep,deep,360,2,6,3,3,false,0,0,false,false,14,90,225
3,ketoBig,23,87,100,deep,frenzy,2700,5,19,6,13,false,frenzy,5,true,false,18,180,225
3,ketoBig,24,100,100,frenzy,frenzy,540,2,8,3,5,true,0,0,false,false,17,,300
