seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,lookahead,1,50,47,normal,normal,255,3,10,4,6,true,0,0,false,false,29,60,45
1,lookahead,2,47,40,normal,normal,225,3,9,3,6,true,0,0,false,false,28,100,60
1,lookahead,3,40,55,normal,normal,40,1,4,4,0,false,0,0,false,false,27,40,45
1,lookahead,4,55,49,normal,normal,170,2,11,4,7,false,0,0,false,false,26,30,45
1,lookahead,5,49,22,normal,normal,225,2,9,0,9,true,0,0,false,false,25,,60
1,lookahead,6,22,16,normal,normal,105,2,9,3,6,true,0,0,false,false,24,60,45
1,lookahead,7,16,40,normal,normal,90,2,6,6,0,false,0,0,false,false,23,50,45
1,lookahead,8,40,22,normal,normal,90,1,6,0,6,true,0,0,false,false,22,30,90
1,lookahead,9,22,45,normal,normal,90,2,6,6,0,false,0,0,false,false,21,60,
1,lookahead,10,45,59,normal,normal,210,3,9,6,3,false,0,0,false,false,20,30,45
1,lookahead,11,59,49,normal,normal,45,1,3,0,3,true,0,0,false,false,19,60,60
1,lookahead,12,49,63,normal,normal,120,2,9,6,3,false,0,0,false,false,18,60,45
1,lookahead,13,63,53,normal,normal,45,1,3,0,3,true,0,0,false,false,17,,45
1,lookahead,14,53,66,normal,normal,300,3,14,8,6,false,0,0,false,false,16,60,45
1,lookahead,15,66,83,normal,keto,50,1,5,5,0,false,1,4,false,false,19,50,45
1,lookahead,16,83,72,keto,keto,90,1,3,0,3,true,0,0,false,false,18,,90
1,lookahead,17,72,85,keto,deep,1380,4,18,10,8,false,1,2,false,false,19,60,90
1,lookahead,18,85,88,deep,deep,555,3,12,6,6,true,0,2,false,false,20,180,135
1,lookahead,19,88,68,deep,normal,315,2,6,0,6,true,-1,0,false,false,19,90,135
1,lookahead,20,68,89,normal,deep,150,2,6,6,0,false,1,4,false,false,22,30,45
1,lookahead,21,89,75,deep,keto,180,1,4,0,4,true,-1,0,false,false,21,,180
1,lookahead,22,75,84,keto,keto,60,1,3,3,0,false,0,2,false,false,22,60,90
1,lookahead,23,84,84,keto,keto,210,2,6,3,3,true,0,2,false,false,23,60,90
1,lookahead,24,84,94,keto,deep,600,2,12,7,5,false,1,2,false,false,24,60,160
1,lookahead,25,94,82,deep,keto,1170,3,13,0,13,true,-1,0,false,false,23,180,135
1,lookahead,26,82,82,keto,keto,330,2,6,3,3,false,0,2,false,false,24,60,
1,lookahead,27,82,94,keto,deep,300,2,9,6,3,false,1,2,false,false,25,120,180
1,lookahead,28,94,82,deep,keto,1260,3,18,3,15,true,-1,0,false,false,24,90,405
1,lookahead,29,82,82,keto,keto,1140,3,12,3,9,false,0,2,false,false,25,60,90
1,lookahead,30,82,94,keto,deep,480,3,9,6,3,true,1,2,false,false,26,60,90
1,lookahead,31,94,82,deep,keto,2160,5,18,3,15,true,-1,0,false,false,25,90,180
1,lookahead,32,82,82,keto,keto,620,2,10,4,6,false,0,2,false,false,26,80,90
1,lookahead,33,82,91,keto,deep,60,1,3,3,0,false,1,2,false,false,27,120,90
1,lookahead,34,91,80,deep,keto,135,1,3,0,3,true,-1,0,false,false,26,180,135
1,lookahead,35,80,82,keto,keto,660,2,13,6,7,false,0,2,false,false,27,60,90
1,lookahead,36,82,91,keto,deep,60,1,3,3,0,false,1,2,false,false,28,60,120
