seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,random,1,50,40,normal,normal,45,1,3,0,3,true,0,0,false,false,29,60,45
1,random,2,40,51,normal,normal,30,1,3,3,0,false,0,0,false,false,28,60,60
1,random,3,51,39,normal,normal,60,1,4,0,4,true,0,0,false,false,27,,60
1,random,4,39,30,normal,normal,45,1,3,0,3,true,0,0,false,false,26,30,45
1,random,5,30,21,normal,normal,45,1,3,0,3,true,0,0,false,false,25,40,45
1,random,6,21,33,normal,normal,30,1,3,3,0,false,0,0,false,false,24,50,45
1,random,7,33,24,normal,normal,45,1,3,0,3,true,0,0,false,false,23,100,45
1,random,8,24,24,normal,normal,150,2,7,3,4,false,0,0,false,false,22,60,45
1,random,9,24,40,normal,normal,40,1,4,4,0,false,0,0,false,false,21,50,60
1,random,10,40,20,normal,normal,150,2,9,1,8,false,0,0,false,false,20,,60
1,random,11,20,28,normal,normal,390,3,17,3,14,true,0,0,false,false,19,30,120
1,random,12,28,40,normal,normal,30,1,3,3,0,false,0,0,false,false,18,40,45
1,random,13,40,51,normal,normal,30,1,3,3,0,false,0,0,false,false,17,70,
1,random,14,51,62,normal,normal,30,1,3,3,0,false,0,0,false,false,16,30,
1,random,15,62,72,normal,keto,30,1,3,3,0,false,1,2,false,false,17,30,45
1,random,16,72,71,keto,keto,960,4,15,6,9,false,0,0,false,false,16,60,120
1,random,17,71,81,keto,keto,60,1,3,3,0,false,0,0,false,false,15,60,90
1,random,18,81,90,keto,deep,60,1,3,3,0,false,1,2,false,false,16,60,90
1,random,19,90,79,deep,keto,135,1,3,0,3,true,-1,0,false,false,15,180,135
1,random,20,79,68,keto,normal,270,2,6,0,6,true,-1,0,false,false,14,60,90
1,random,21,68,82,normal,keto,350,2,11,7,4,false,1,2,false,false,15,60,60
1,random,22,82,91,keto,deep,60,1,3,3,0,false,1,2,false,false,16,80,120
1,random,23,91,100,deep,frenzy,540,2,9,4,5,false,frenzy,5,true,false,20,540,180
1,random,24,100,100,frenzy,frenzy,3440,5,24,9,15,true,0,0,false,false,19,160,360
1,random,25,100,100,frenzy,frenzy,600,2,9,5,4,false,0,0,false,false,18,440,320
1,random,26,100,100,frenzy,frenzy,420,2,6,3,3,true,0,0,false,false,17,120,240
1,random,27,100,100,frenzy,frenzy,120,1,3,3,0,false,0,0,false,false,16,120,180
1,random,28,100,70,frenzy,keto,180,1,3,0,3,true,-1,0,false,true,15,120,180
1,random,29,70,78,keto,keto,120,1,6,4,2,false,0,0,false,false,14,120,90
1,random,30,78,68,keto,normal,90,1,3,0,3,true,-1,0,false,false,13,140,90
1,random,31,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,14,40,
1,random,32,78,87,keto,deep,60,1,3,3,0,false,1,2,false,false,15,120,90
1,random,33,87,87,deep,deep,255,2,6,3,3,true,0,2,false,false,16,180,135
