seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,tempted_2_0,1,50,52,normal,normal,60,1,6,3,3,false,0,0,false,false,29,60,45
1,tempted_2_0,2,52,63,normal,normal,30,1,3,3,0,false,0,0,false,false,28,30,45
1,tempted_2_0,3,63,73,normal,keto,30,1,3,3,0,false,1,2,false,false,29,30,45
1,tempted_2_0,4,73,63,keto,normal,90,1,3,0,3,true,-1,0,false,false,28,,90
1,tempted_2_0,5,63,39,normal,normal,270,2,15,3,12,true,0,0,false,false,27,30,90
1,tempted_2_0,6,39,27,normal,normal,60,1,4,0,4,true,0,0,false,false,26,30,60
1,tempted_2_0,7,27,21,normal,normal,150,2,9,3,6,false,0,0,false,false,25,60,75
1,tempted_2_0,8,21,6,normal,crash,75,1,5,0,5,true,-1,0,false,false,24,30,75
1,tempted_2_0,9,6,18,crash,normal,15,1,3,3,0,false,1,0,false,false,23,15,23
1,tempted_2_0,10,18,41,normal,normal,90,2,6,6,0,false,0,0,false,false,22,30,45
1,tempted_2_0,11,41,35,normal,normal,150,2,9,3,6,true,0,0,false,false,21,,90
1,tempted_2_0,12,35,26,normal,normal,45,1,3,0,3,true,0,0,false,false,20,,45
1,tempted_2_0,13,26,49,normal,normal,90,2,6,6,0,false,0,0,false,false,19,30,45
1,tempted_2_0,14,49,37,normal,normal,60,1,4,0,4,true,0,0,false,false,18,30,60
1,tempted_2_0,15,37,40,normal,normal,60,1,6,3,3,false,0,0,false,false,17,60,45
1,tempted_2_0,16,40,51,normal,normal,30,1,3,3,0,false,0,0,false,false,16,30,45
1,tempted_2_0,17,51,43,normal,normal,280,2,21,8,13,false,0,0,false,false,15,30,140
1,tempted_2_0,18,43,54,normal,normal,30,1,3,3,0,false,0,0,false,false,14,30,45
1,tempted_2_0,19,54,65,normal,normal,30,1,3,3,0,false,0,0,false,false,13,60,45
1,tempted_2_0,20,65,75,normal,keto,30,1,3,3,0,false,1,2,false,false,14,30,45
1,tempted_2_0,21,75,76,keto,keto,150,2,6,3,3,true,0,2,false,false,15,,90
1,tempted_2_0,22,76,82,keto,keto,735,3,9,3,6,false,0,2,false,false,16,60,90
1,tempted_2_0,23,82,82,keto,keto,120,1,6,3,3,false,0,2,false,false,17,120,90
1,tempted_2_0,24,82,66,keto,normal,150,1,5,0,5,true,-1,0,false,false,16,60,150
1,tempted_2_0,25,66,76,normal,keto,30,1,3,3,0,false,1,2,false,false,17,30,45
1,tempted_2_0,26,76,85,keto,deep,60,1,3,3,0,false,1,2,false,false,18,60,90
1,tempted_2_0,27,85,68,deep,normal,315,2,6,0,6,true,-1,0,false,false,17,,135
1,tempted_2_0,28,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,18,30,45
1,tempted_2_0,29,78,68,keto,normal,90,1,3,0,3,true,-1,0,false,false,17,,90
1,tempted_2_0,30,68,81,normal,keto,180,2,9,6,3,false,1,2,false,false,18,60,45
1,tempted_2_0,31,81,68,keto,normal,510,3,13,3,10,true,-1,2,false,false,19,,120
1,tempted_2_0,32,68,78,normal,keto,30,1,3,3,0,false,1,2,false,false,20,30,45
1,tempted_2_0,33,78,65,keto,normal,120,1,4,0,4,true,-1,0,false,false,19,60,120
1,tempted_2_0,34,65,68,normal,normal,270,2,7,3,4,false,0,2,false,false,20,30,45
1,tempted_2_0,35,68,55,normal,normal,60,1,4,0,4,true,0,0,false,false,19,30,60
1,tempted_2_0,36,55,68,normal,normal,120,2,9,6,3,false,0,2,false,false,20,60,45
1,tempted_2_0,37,68,52,normal,normal,75,1,5,0,5,true,0,0,false,false,19,30,75
1,tempted_2_0,38,52,40,normal,normal,260,2,18,6,12,false,0,0,false,false,18,100,80
1,tempted_2_0,39,40,23,normal,normal,80,1,8,1,7,false,0,0,false,false,17,30,45
1,tempted_2_0,40,23,51,normal,normal,740,5,23,14,9,false,0,0,false,false,16,60,45
1,tempted_2_0,41,51,44,normal,normal,255,3,9,3,6,false,0,0,false,false,15,30,45
1,tempted_2_0,42,44,20,normal,normal,420,3,15,3,12,true,0,0,false,false,14,30,90
1,tempted_2_0,43,20,32,normal,normal,30,1,3,3,0,false,0,0,false,false,13,30,45
1,tempted_2_0,44,32,43,normal,normal,30,1,3,3,0,false,0,0,false,false,12,30,45
1,tempted_2_0,45,43,24,normal,normal,170,2,11,2,9,false,0,0,false,false,11,30,80
1,tempted_2_0,46,24,36,normal,normal,30,1,3,3,0,false,0,0,false,false,10,30,45
1,tempted_2_0,47,36,18,normal,normal,90,1,6,0,6,true,0,0,false,false,9,,90
1,tempted_2_0,48,18,6,normal,crash,60,1,4,0,4,true,-1,0,false,false,8,,60
1,tempted_2_0,49,6,16,crash,normal,240,3,9,3,6,false,1,0,false,false,7,15,23
1,tempted_2_0,50,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,6,30,45
1,tempted_2_0,51,28,35,normal,normal,70,1,7,4,3,false,0,0,false,false,5,70,45
1,tempted_2_0,52,35,26,normal,normal,45,1,3,0,3,true,0,0,false,false,4,,45
1,tempted_2_0,53,26,38,normal,normal,30,1,3,3,0,false,0,0,false,false,3,30,45
1,tempted_2_0,54,38,22,normal,normal,835,5,24,8,16,true,0,0,false,false,2,,45
1,tempted_2_0,55,22,16,normal,normal,255,3,9,3,6,false,0,0,false,false,1,30,45
1,tempted_2_0,56,16,19,normal,normal,60,1,6,3,3,false,0,0,false,false,0,60,45
2,tempted_2_0,1,50,38,normal,normal,60,1,4,0,4,true,0,0,false,false,29,,60
2,tempted_2_0,2,38,36,normal,normal,3495,10,48,15,33,false,0,0,false,false,28,30,45
2,tempted_2_0,3,36,18,normal,normal,295,3,13,3,10,false,0,0,false,false,27,70,90
2,tempted_2_0,4,18,16,normal,normal,90,1,9,2,7,false,0,0,false,false,26,30,90
2,tempted_2_0,5,16,28,normal,normal,30,1,3,3,0,false,0,0,false,false,25,30,45
2,tempted_2_0,6,28,31,normal,normal,120,2,6,3,3,false,0,0,false,false,24,30,45
2,tempted_2_0,7,31,21,normal,normal,290,2,22,8,14,false,0,0,false,false,23,150,60
2,tempted_2_0,8,21,44,normal,normal,90,2,6,6,0,false,0,0,false,false,22,30,45
2,tempted_2_0,9,44,32,normal,normal,60,1,4,0,4,true,0,0,false,false,21,30,60
