seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,casual,9580,49,38,lock,2,100,false,5,1440,112,136,0,0.5510204081632653,0.22448979591836735,0.02040816326530612,0.20408163265306123,13,3,normal,false,6,25,0,1345,3300,1275,3660,false,false,false,5060,10,4520,39,2,5|2
2,casual,6071,30,0,budget,0,63,true,10,3495,81,134,0.06666666666666667,0.9333333333333333,0,0,0,1,30,normal,false,11,10,211,5860,0,0,0,false,false,true,0,0,6071,30,0,
3,casual,3201,34,4,budget,0,73,true,3,480,80,135,0.2647058823529412,0.6764705882352942,0.058823529411764705,0,0,4,2,normal,false,3,15,746,2275,180,0,0,false,false,false,0,0,3201,34,0,
4,casual,1733,30,0,budget,0,62,true,3,360,52,96,0.6333333333333333,0.36666666666666664,0,0,0,4,9,normal,false,10,9,878,855,0,0,0,false,false,true,0,0,1733,30,0,
5,casual,5400,52,22,budget,0,95,true,4,1110,106,143,0.019230769230769232,0.75,0.19230769230769232,0.038461538461538464,0,11,15,crash,false,9,28,45,3315,1770,270,0,true,true,false,0,0,5400,52,0,
6,casual,4960,21,12,lock,0,97,false,5,1365,60,72,0,0.5238095238095238,0.38095238095238093,0.09523809523809523,0,6,2,keto,false,4,10,0,1825,1560,1575,0,true,true,false,0,0,4960,21,0,
7,casual,4876,38,8,budget,0,84,true,6,895,85,169,0.3157894736842105,0.5789473684210527,0.10526315789473684,0,0,7,2,normal,false,4,18,1096,3180,600,0,0,false,false,false,0,0,4876,38,0,
8,casual,11913,57,27,budget,1,100,true,5,945,184,271,0.07017543859649122,0.6666666666666666,0.12280701754385964,0.05263157894736842,0.08771929824561403,12,6,normal,false,5,31,573,5985,2250,1485,1620,false,false,false,1530,5,10383,52,1,9
9,casual,2300,30,0,budget,0,52,true,3,360,54,104,0.4,0.6,0,0,0,4,11,crash,false,5,9,490,1810,0,0,0,false,false,true,0,0,2300,30,0,
10,casual,3513,30,0,budget,0,64,true,5,895,73,104,0.1,0.9,0,0,0,2,22,normal,false,5,9,78,3435,0,0,0,false,false,true,0,0,3513,30,0,
11,casual,2818,30,0,budget,0,51,true,5,466,63,117,0.4666666666666667,0.5333333333333333,0,0,0,5,3,crash,false,7,12,1048,1770,0,0,0,false,false,false,0,0,2818,30,0,
12,casual,8321,49,19,budget,1,100,true,5,1140,136,172,0.10204081632653061,0.6938775510204082,0.08163265306122448,0.02040816326530612,0.10204081632653061,7,1,normal,false,12,16,251,4005,870,1035,2160,false,false,false,2070,5,6251,44,1,2
13,casual,7240,41,11,budget,1,100,true,4,840,119,146,0.024390243902439025,0.6829268292682927,0.17073170731707318,0,0.12195121951219512,4,3,normal,false,12,15,15,3545,1300,0,2380,false,false,false,2380,5,4860,36,1,3
14,casual,2404,32,2,budget,0,75,true,4,465,57,98,0.3125,0.6875,0,0,0,6,3,normal,false,5,11,204,1960,240,0,0,false,false,true,0,0,2404,32,0,
15,casual,6300,49,19,budget,1,100,false,4,1140,102,139,0,0.7142857142857143,0.16326530612244897,0.02040816326530612,0.10204081632653061,8,2,normal,false,6,22,0,2530,1230,360,2180,false,false,true,2150,5,4150,44,1,5
16,casual,3465,34,4,budget,0,71,true,3,315,89,125,0.058823529411764705,0.9411764705882353,0,0,0,4,4,normal,false,3,16,105,3360,0,0,0,false,false,true,0,0,3465,34,0,
17,casual,1785,30,0,budget,0,62,false,3,255,51,64,0,1,0,0,0,0,-1,normal,false,14,5,0,1785,0,0,0,false,false,true,0,0,1785,30,0,
18,casual,3049,30,0,budget,0,67,true,4,560,72,110,0.23333333333333334,0.7666666666666667,0,0,0,1,28,normal,false,5,12,349,2700,0,0,0,false,false,false,0,0,3049,30,0,
19,casual,4866,38,8,budget,0,83,true,4,615,100,142,0.18421052631578946,0.7894736842105263,0.02631578947368421,0,0,7,4,normal,false,7,11,161,3865,840,0,0,false,false,false,0,0,4866,38,0,
20,casual,4380,24,8,lock,0,84,true,4,1065,69,105,0.041666666666666664,0.875,0.08333333333333333,0,0,3,1,crash,false,6,11,0,2790,1590,0,0,false,false,false,0,0,4380,24,0,
21,casual,2892,36,6,budget,0,81,true,3,440,67,116,0.3611111111111111,0.5555555555555556,0.08333333333333333,0,0,3,8,normal,false,12,12,397,1985,510,0,0,false,false,true,0,0,2892,36,0,
