seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,keto,2445,21,4,lock,0,92,false,4,520,53,58,0,0.7619047619047619,0.19047619047619047,0.047619047619047616,0,2,17,keto,false,4,10,0,1740,570,135,0,true,false,true,0,0,2445,21,0,
2,keto,90,2,0,lock,0,50,false,1,45,0,6,0,1,0,0,0,0,-1,normal,false,2,0,0,90,0,0,0,false,false,false,0,0,90,2,0,
3,keto,26175,92,70,lock,2,100,false,6,2670,224,372,0,0.5978260869565217,0.25,0.043478260869565216,0.10869565217391304,29,2,normal,false,5,54,0,4485,13400,2430,5860,false,true,false,6040,10,20135,82,1,2
4,keto,2578,30,0,budget,0,66,true,4,450,53,101,0.3,0.7,0,0,0,3,13,crash,false,4,10,368,2210,0,0,0,false,false,false,0,0,2578,30,0,
5,keto,21193,100,70,budget,2,100,true,5,1480,263,360,0.06,0.52,0.26,0.06,0.1,31,3,normal,false,6,55,883,4975,5950,3645,5740,false,true,false,5750,10,15443,90,1,6
6,keto,5625,50,20,budget,0,94,true,4,480,123,155,0.02,0.78,0.18,0.02,0,9,3,normal,false,4,22,15,4320,1020,270,0,true,false,false,0,0,5625,50,0,
7,keto,9308,41,11,budget,1,100,true,7,1485,100,174,0.07317073170731707,0.6585365853658537,0.0975609756097561,0.04878048780487805,0.12195121951219512,5,2,normal,false,5,19,53,5295,840,180,2940,false,false,false,2550,5,6758,36,1,4
8,keto,17420,71,41,budget,1,100,true,7,3450,181,270,0.07042253521126761,0.5774647887323944,0.19718309859154928,0.08450704225352113,0.07042253521126761,22,2,normal,false,4,42,365,5445,4950,1260,5400,false,true,false,5370,5,12050,66,1,7
9,keto,2443,32,2,budget,0,75,true,3,480,54,97,0.3125,0.6875,0,0,0,6,3,normal,false,7,14,373,1620,450,0,0,false,false,true,0,0,2443,32,0,
10,keto,10668,56,26,budget,0,90,true,6,1695,139,211,0.14285714285714285,0.625,0.23214285714285715,0,0,13,2,normal,false,10,24,278,6030,4000,360,0,true,false,true,0,0,10668,56,0,
11,keto,4399,32,2,budget,0,76,true,5,580,84,131,0.15625,0.8125,0.03125,0,0,2,12,normal,false,7,14,414,3895,90,0,0,false,false,false,0,0,4399,32,0,
12,keto,9823,50,20,budget,2,100,true,5,1580,138,169,0.1,0.58,0.06,0.06,0.2,8,1,normal,false,8,23,213,3340,1850,720,3700,false,true,false,3580,10,6243,40,2,4|2
