seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,ketoBig,14135,54,24,budget,2,100,true,5,2010,154,208,0.018518518518518517,0.5925925925925926,0.14814814814814814,0.05555555555555555,0.18518518518518517,10,3,normal,false,4,30,45,4190,720,1620,7560,false,true,false,5820,10,8315,44,2,4|4
2,ketoBig,6775,30,0,budget,0,62,true,10,3495,93,158,0.13333333333333333,0.8666666666666667,0,0,0,2,12,crash,false,5,10,215,6560,0,0,0,false,false,false,0,0,6775,30,0,
3,ketoBig,29005,61,31,budget,3,100,true,8,5500,178,288,0.03278688524590164,0.4262295081967213,0.22950819672131148,0.06557377049180328,0.2459016393442623,11,2,crash,false,4,31,15,3830,4120,6120,14920,false,true,false,14980,15,14025,46,3,3|5|4
4,ketoBig,990,10,0,lock,0,63,true,3,285,19,39,0.1,0.9,0,0,0,1,10,normal,false,2,6,60,930,0,0,0,false,false,true,0,0,990,10,0,
5,ketoBig,10970,65,35,budget,1,100,true,5,810,179,222,0,0.6307692307692307,0.2153846153846154,0.07692307692307693,0.07692307692307693,15,2,normal,false,5,36,30,4075,3010,1635,2220,false,true,true,1990,5,8980,60,1,9
6,ketoBig,8473,47,17,budget,1,100,true,5,1225,138,197,0.10638297872340426,0.6808510638297872,0.0851063829787234,0.02127659574468085,0.10638297872340426,6,3,crash,false,7,17,198,5500,600,1035,1140,false,false,false,1050,5,7423,42,1,4
7,ketoBig,6196,41,11,budget,1,100,true,4,780,99,178,0.04878048780487805,0.7073170731707317,0.07317073170731707,0.04878048780487805,0.12195121951219512,6,2,normal,false,4,22,591,3355,750,180,1320,false,false,true,1230,5,4966,36,1,4
8,ketoBig,27371,102,72,budget,4,100,true,4,3180,239,384,0.13725490196078433,0.3137254901960784,0.24509803921568626,0.10784313725490197,0.19607843137254902,33,2,normal,false,6,62,491,2105,5160,4755,14860,false,true,true,10720,20,16651,82,4,9|6|5|4
9,ketoBig,6676,36,6,budget,0,82,true,6,1860,93,171,0.08333333333333333,0.9166666666666666,0,0,0,5,3,normal,false,6,18,286,4110,2280,0,0,false,false,true,0,0,6676,36,0,
10,ketoBig,8005,50,28,lock,0,94,false,4,870,148,217,0,0.78,0.16,0.06,0,11,2,normal,false,5,29,0,4710,2530,765,0,true,false,false,0,0,8005,50,0,
11,ketoBig,4893,30,0,budget,0,54,true,5,940,101,158,0.13333333333333333,0.8666666666666667,0,0,0,3,4,normal,false,3,12,378,4515,0,0,0,false,false,false,0,0,4893,30,0,
12,ketoBig,11522,48,18,budget,2,100,true,6,3540,135,177,0.2916666666666667,0.2708333333333333,0.16666666666666666,0.0625,0.20833333333333334,7,1,normal,false,8,18,1067,2195,1540,360,6360,false,false,false,6060,10,5462,38,2,2|9
13,ketoBig,7783,50,20,budget,2,100,true,5,720,128,157,0.08,0.6,0.08,0.04,0.2,9,3,normal,false,6,22,68,3265,800,270,3380,false,true,false,2910,10,4873,40,2,2|4
14,ketoBig,6219,44,14,budget,0,90,true,4,1650,101,176,0.20454545454545456,0.6818181818181818,0.09090909090909091,0.022727272727272728,0,9,1,crash,false,6,21,504,2945,2590,180,0,true,false,false,0,0,6219,44,0,
15,ketoBig,10316,65,35,budget,1,100,true,5,1170,157,242,0.06153846153846154,0.6,0.2,0.06153846153846154,0.07692307692307693,17,3,normal,false,5,30,286,4235,3590,825,1380,false,false,true,1380,5,8936,60,1,3
16,ketoBig,4555,34,4,budget,0,77,false,5,1350,92,127,0,0.9411764705882353,0.058823529411764705,0,0,2,5,normal,false,5,16,0,4375,180,0,0,false,false,true,0,0,4555,34,0,
17,ketoBig,12440,65,35,budget,1,100,true,4,1140,173,261,0.03076923076923077,0.6923076923076923,0.12307692307692308,0.07692307692307693,0.07692307692307693,15,5,normal,false,10,39,30,4675,2160,2295,3280,false,true,true,2890,5,9550,60,0,
18,ketoBig,11770,58,28,budget,2,100,false,4,840,157,233,0,0.6551724137931034,0.15517241379310345,0.017241379310344827,0.1724137931034483,10,3,normal,false,9,27,0,4610,2870,810,3480,false,true,false,3410,10,8360,48,2,2|5
