seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,lookahead,71311,154,124,budget,4,100,true,6,3300,569,829,0.025974025974025976,0.42857142857142855,0.2922077922077922,0.12337662337662338,0.12987012987012986,49,15,normal,false,5,105,411,9805,14250,21945,24900,false,true,true,23170,20,48141,134,4,2|3|7|3
2,lookahead,4466,30,0,budget,0,68,true,5,765,96,137,0.16666666666666666,0.8333333333333334,0,0,0,2,19,normal,false,4,17,546,3920,0,0,0,false,false,true,0,0,4466,30,0,
3,lookahead,5305,32,2,budget,0,83,true,5,1050,86,143,0.0625,0.875,0.0625,0,0,3,2,normal,false,4,15,510,3685,1110,0,0,false,false,false,0,0,5305,32,0,
4,lookahead,5115,30,0,budget,0,52,true,4,560,99,202,0.3333333333333333,0.6666666666666666,0,0,0,3,12,crash,false,5,16,1545,3570,0,0,0,false,false,true,0,0,5115,30,0,
5,lookahead,10165,47,17,budget,1,100,false,7,1310,149,196,0,0.723404255319149,0.14893617021276595,0.02127659574468085,0.10638297872340426,6,16,normal,false,5,20,0,6940,1350,315,1560,false,false,true,1680,5,8485,42,1,4
6,lookahead,28969,99,69,budget,3,100,true,6,2160,272,419,0.0707070707070707,0.42424242424242425,0.29292929292929293,0.06060606060606061,0.15151515151515152,31,2,normal,false,6,60,414,5430,7080,4605,11440,false,true,true,9000,15,19969,84,3,8|5|2
7,lookahead,4444,36,6,budget,0,80,true,4,575,89,166,0.5,0.4444444444444444,0.05555555555555555,0,0,8,2,normal,false,5,19,1274,2600,570,0,0,false,false,false,0,0,4444,36,0,
8,lookahead,11230,45,15,budget,1,100,true,4,1005,143,192,0,0.7111111111111111,0.15555555555555556,0.022222222222222223,0.1111111111111111,6,21,normal,false,5,23,60,5475,1620,1035,3040,false,false,false,2530,5,8700,40,1,7
9,lookahead,4919,30,0,budget,0,57,true,5,630,81,153,0.26666666666666666,0.7333333333333333,0,0,0,5,7,crash,false,4,15,669,4250,0,0,0,false,false,false,0,0,4919,30,0,
10,lookahead,6663,34,4,budget,0,80,true,7,1230,108,165,0.08823529411764706,0.8823529411764706,0.029411764705882353,0,0,3,1,crash,false,4,16,68,5875,720,0,0,false,false,false,0,0,6663,34,0,
11,lookahead,3422,30,0,budget,0,58,true,4,375,72,120,0.2,0.8,0,0,0,3,9,normal,false,3,14,417,3005,0,0,0,false,false,false,0,0,3422,30,0,
12,lookahead,14170,41,24,lock,2,100,true,6,3840,126,156,0.024390243902439025,0.4878048780487805,0.17073170731707318,0.07317073170731707,0.24390243902439024,9,3,normal,false,4,20,15,2680,1110,2565,7800,false,true,false,7470,10,6700,31,2,4|4
13,lookahead,37375,87,81,lock,5,100,false,7,4390,274,397,0,0.3218390804597701,0.3218390804597701,0.06896551724137931,0.28735632183908044,29,1,normal,false,3,62,0,3135,7080,9360,17800,false,true,true,17110,25,20265,62,5,4|5|5|3|3
14,lookahead,6035,36,6,budget,0,81,true,6,935,95,171,0.08333333333333333,0.8888888888888888,0.027777777777777776,0,0,5,1,normal,false,2,20,150,5585,300,0,0,false,false,true,0,0,6035,36,0,
15,lookahead,8698,46,16,budget,0,85,true,4,930,144,218,0.043478260869565216,0.8478260869565217,0.10869565217391304,0,0,9,2,crash,false,4,23,203,6545,1950,0,0,false,false,false,0,0,8698,46,0,
16,lookahead,4015,30,0,budget,0,60,true,4,480,84,125,0,1,0,0,0,0,-1,normal,false,6,12,30,3985,0,0,0,false,false,false,0,0,4015,30,0,
17,lookahead,20490,69,39,budget,1,100,true,7,1860,201,322,0.043478260869565216,0.6086956521739131,0.21739130434782608,0.057971014492753624,0.07246376811594203,15,12,crash,false,5,40,75,8355,4440,3960,3660,false,true,false,4080,5,16410,64,1,5
