seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,random,13551,65,35,budget,1,100,true,5,3440,164,219,0.046153846153846156,0.5692307692307692,0.24615384615384617,0.06153846153846154,0.07692307692307693,14,15,normal,false,7,37,446,3385,3610,990,5120,false,false,false,5120,5,8431,60,1,3
2,random,90,2,0,lock,0,50,false,1,45,0,6,0,1,0,0,0,0,-1,normal,false,2,0,0,90,0,0,0,false,false,false,0,0,90,2,0,
3,random,2299,30,0,budget,0,67,true,3,255,59,97,0.4,0.6,0,0,0,1,16,normal,false,5,10,544,1755,0,0,0,false,false,false,0,0,2299,30,0,
4,random,2084,30,0,budget,0,50,true,4,570,50,98,0.6,0.4,0,0,0,3,12,crash,false,8,7,599,1485,0,0,0,false,false,false,0,0,2084,30,0,
5,random,1825,30,0,budget,0,69,false,3,255,57,70,0,1,0,0,0,0,-1,normal,false,11,5,0,1825,0,0,0,false,false,false,0,0,1825,30,0,
6,random,5525,38,8,budget,0,91,true,6,2115,102,142,0.07894736842105263,0.7894736842105263,0.10526315789473684,0.02631578947368421,0,6,3,crash,false,11,13,40,5020,330,135,0,true,false,false,0,0,5525,38,0,
7,random,5552,30,0,budget,0,63,true,9,2275,77,153,0.26666666666666666,0.7333333333333333,0,0,0,3,14,crash,false,5,15,1022,4530,0,0,0,false,false,true,0,0,5552,30,0,
8,random,1820,24,0,lock,0,65,false,3,300,47,60,0,1,0,0,0,0,-1,normal,false,4,7,0,1820,0,0,0,false,false,false,0,0,1820,24,0,
9,random,3137,30,0,budget,0,50,true,6,1155,61,124,0.5666666666666667,0.43333333333333335,0,0,0,5,6,crash,false,5,13,1187,1950,0,0,0,false,false,false,0,0,3137,30,0,
10,random,3128,34,4,budget,0,73,true,4,318,74,107,0.11764705882352941,0.8529411764705882,0.029411764705882353,0,0,5,2,normal,false,4,16,453,2405,270,0,0,false,false,false,0,0,3128,34,0,
11,random,3118,30,0,budget,0,50,true,4,465,65,107,0.2,0.8,0,0,0,4,5,normal,false,4,11,243,2875,0,0,0,false,false,false,0,0,3118,30,0,
12,random,10863,61,31,budget,1,100,true,4,1095,146,196,0.13114754098360656,0.45901639344262296,0.26229508196721313,0.06557377049180328,0.08196721311475409,15,6,crash,false,5,30,218,3025,3010,1710,2900,false,true,true,2960,5,7903,56,1,3
13,random,8885,49,19,budget,1,100,true,4,2700,113,135,0.02040816326530612,0.7142857142857143,0.12244897959183673,0.04081632653061224,0.10204081632653061,7,2,normal,false,14,13,60,2510,1860,555,3900,false,true,false,3720,5,5165,44,1,3
14,random,3366,30,0,budget,0,68,true,5,915,61,110,0.16666666666666666,0.8333333333333334,0,0,0,1,26,normal,false,7,8,431,2935,0,0,0,false,false,false,0,0,3366,30,0,
15,random,11371,78,48,budget,0,94,true,3,1340,165,260,0.20512820512820512,0.47435897435897434,0.2692307692307692,0.05128205128205128,0,24,2,crash,false,10,36,601,3175,4850,2745,0,true,false,false,0,0,11371,78,0,
16,random,2743,32,2,budget,0,70,true,5,780,59,89,0.15625,0.84375,0,0,0,4,9,normal,false,6,10,128,2615,0,0,0,false,false,false,0,0,2743,32,0,
17,random,5375,52,22,budget,0,92,false,3,560,115,141,0,0.7884615384615384,0.15384615384615385,0.057692307692307696,0,8,27,normal,false,8,24,0,3300,1670,405,0,true,false,false,0,0,5375,52,0,
18,random,4118,32,2,budget,0,71,true,5,705,84,128,0.125,0.875,0,0,0,3,7,normal,false,6,11,653,3465,0,0,0,false,false,true,0,0,4118,32,0,
19,random,2453,30,0,budget,0,67,true,4,465,60,89,0.16666666666666666,0.8333333333333334,0,0,0,3,21,normal,false,6,11,218,2235,0,0,0,false,false,true,0,0,2453,30,0,
20,random,10182,57,27,budget,1,100,true,4,975,129,212,0.15789473684210525,0.6666666666666666,0.07017543859649122,0.017543859649122806,0.08771929824561403,11,2,crash,false,7,24,317,3760,1350,1935,2820,false,true,false,2730,5,7452,52,1,3
21,random,2303,40,10,budget,0,94,true,2,165,59,86,0.15,0.7,0.125,0.025,0,8,10,crash,false,6,15,103,1555,510,135,0,true,false,false,0,0,2303,40,0,
22,random,11180,47,17,budget,1,100,true,4,3060,128,174,0.0851063829787234,0.7021276595744681,0.0851063829787234,0.02127659574468085,0.10638297872340426,7,2,normal,false,5,18,250,3500,590,1980,4860,false,true,false,5610,5,5570,42,1,5
23,random,2911,30,0,budget,0,53,true,5,645,56,94,0.2,0.8,0,0,0,2,11,crash,false,6,11,241,2670,0,0,0,false,false,false,0,0,2911,30,0,
24,random,1855,30,0,budget,0,52,true,3,285,46,91,0.3,0.7,0,0,0,1,15,crash,false,10,7,440,1415,0,0,0,false,false,false,0,0,1855,30,0,
25,random,3875,16,13,lock,1,100,false,4,1780,54,37,0,0.5625,0.1875,0,0.25,3,3,frenzy,false,6,8,0,715,240,1080,1840,false,false,true,2980,4,895,12,1,3
26,random,2090,30,0,budget,0,50,true,3,290,49,104,0.36666666666666664,0.6333333333333333,0,0,0,3,9,crash,false,10,9,385,1705,0,0,0,false,false,false,0,0,2090,30,0,
27,random,20630,87,57,budget,5,100,false,6,3120,227,242,0,0.42528735632183906,0.25287356321839083,0.034482758620689655,0.28735632183908044,16,2,normal,false,7,35,0,3000,2910,3900,10820,false,false,false,13150,25,7480,62,5,3|6|3|3|3
28,random,2679,30,0,budget,0,60,true,3,405,66,96,0.23333333333333334,0.7666666666666667,0,0,0,2,18,normal,false,4,13,284,2395,0,0,0,false,false,true,0,0,2679,30,0,
29,random,3460,17,22,lock,0,93,false,4,870,41,51,0,0.47058823529411764,0.5294117647058824,0,0,10,1,keto,false,2,10,0,430,1950,1080,0,true,false,true,0,0,3460,17,0,
