knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
refund.deep,1,casual,4033.5,2404,10266,33,51,97,0.932,0.29,0.21,0.942,6
refund.deep,1,ketoBig,6160.5,2998,16645,38,60,96,0.91,0.668,0.394,0.972,5
refund.deep,1,lookahead,8239.5,4045,33255,39,81,200,0.95,1.052,0.414,0.96,5
refund.deep,2,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
refund.deep,2,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
refund.deep,2,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
refund.deep,3,casual,4095,2404,11608,34,61,143,0.926,0.316,0.214,0.942,6
refund.deep,3,ketoBig,6329.5,2998,18455,41,75,140,0.894,0.706,0.4,0.972,6
refund.deep,3,lookahead,8562.5,4045,44413,41,117,304,0.92,1.302,0.418,0.96,5
refund.keto,1,casual,3875,2380,9998,32,48,92,0.936,0.282,0.204,0.942,6
refund.keto,1,ketoBig,5789,2945,15508,36,59,91,0.914,0.648,0.386,0.972,5
refund.keto,1,lookahead,7217,4029,32285,36,76,206,0.948,1.022,0.398,0.96,5
refund.keto,2,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
refund.keto,2,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
refund.keto,2,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
refund.keto,3,casual,4226.5,2441,12405,35,64,142,0.922,0.332,0.226,0.942,6
refund.keto,3,ketoBig,6738.5,3065,19180,43,79,150,0.894,0.726,0.404,0.972,6
refund.keto,3,lookahead,8998,4094,44862,45,124,319,0.91,1.354,0.43,0.96,5
refund.frenzy,3,casual,4064.5,2404,10855,34,54,105,0.93,0.292,0.21,0.942,6
refund.frenzy,3,ketoBig,6152.5,2998,16645,39,63,106,0.908,0.676,0.398,0.972,5
refund.frenzy,3,lookahead,8428,4045,35405,40,86,225,0.948,1.102,0.414,0.96,5
refund.frenzy,5,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
refund.frenzy,5,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
refund.frenzy,5,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
refund.frenzy,7,casual,4064.5,2404,11280,34,58,138,0.928,0.298,0.21,0.942,6
refund.frenzy,7,ketoBig,6249.5,2998,18395,40,73,134,0.9,0.704,0.398,0.972,6
refund.frenzy,7,lookahead,8428,4045,41208,40,105,278,0.926,1.226,0.414,0.96,5
moveBudget,20,casual,2877.5,1515,9435,22,43,100,0.95,0.272,0.196,0.868,5
moveBudget,20,ketoBig,4170,2025,14790,28,54,104,0.926,0.59,0.354,0.93,5
moveBudget,20,lookahead,5259.5,2636,31922,26,78,236,0.96,0.946,0.352,0.884,5
moveBudget,25,casual,3486,1933,10167,27,49,110,0.936,0.286,0.204,0.922,5
moveBudget,25,ketoBig,5350.5,2539,16255,34,60,109,0.912,0.646,0.38,0.956,5
moveBudget,25,lookahead,6787.5,3380,34505,33,87,236,0.95,1.066,0.392,0.938,5
moveBudget,30,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
